target_entity_id,target_entity_name,target_column,original_target_name,actual_metric_name,value,unit,status_label,entity_grain,source_entity_id,source_date,requested_as_of_date,source_function,proxy_or_calculation_method,note
809336.IB,26河北23,R,债券是否提前偿还,提前偿还/本金偿还安排,,标志,未获取,bond,809336.IB,,2026-09-11,bond_info_detail_cm,,原始行权标志不涵盖完整本金提前偿还安排；存在与原表不一致样本，不能用否或占位值填补。
809336.IB,26河北23,S,发行日期,发行日期,2026-04-20,日期,已获取,bond,809336.IB,,2026-09-11,bond_info_detail_cm,,
809336.IB,26河北23,T,日期早于2025年8月8日，填1，否则为0,发行日期早于2025-08-08的标记,0,0/1,已获取（计算）,bond,809336.IB,,2026-09-11,local_calculation,int(S<2025-08-08),
101900.IB,23浙江01,A,证券代码,证券代码及银行间市场映射,101900.IB,代码,已获取,bond,101900.IB,,2026-09-11,bond_info_detail_cm,,
101900.IB,23浙江01,B,发行地区,从发行人名称提取的地区,浙江省,地区,已获取（计算）,bond,101900.IB,,2026-09-11,bond_info_detail_cm,remove_government_name_suffix,
101900.IB,23浙江01,C,证券简称,证券简称,23浙江01,文本,已获取,bond,101900.IB,,2026-09-11,bond_info_detail_cm,,
101900.IB,23浙江01,D,剩余期限(年),剩余期限（Actual/365）,3.4273972602739726,年,已获取（计算替代）,bond_day,101900.IB,2026-09-11,2026-09-11,bond_info_detail_cm,"max(0,(maturity-as_of).days/365)",按实际天数/365计算，与Wind计年规则存在细小差异。
101900.IB,23浙江01,E,余额(亿),发行规模（未偿余额的规模参考）,13.2,亿元,已获取（替代）,bond_issue_event,101900.IB,2023-02-10,2026-09-11,bond_info_detail_cm,issuance_size_reference,仅作为规模替代指标，不是未偿本金；到期后发行规模仍可为正。
101900.IB,23浙江01,F,地方债类型,从债券全称识别的一般债/专项债,专项债,类别,已获取（计算）,bond,101900.IB,,2026-09-11,bond_info_detail_cm,classify_general_or_special_from_full_name,
101900.IB,23浙江01,G,票面,票面利率,2.97,%,已获取,bond,101900.IB,,2026-09-11,bond_info_detail_cm,,
101900.IB,23浙江01,H,久期,地方政府债指数平均市值法久期（基准参考）,8.9583,年,已获取（替代）,index_day,地方政府债指数,2026-09-11,2026-09-11,bond_index_general_cbond,index_duration_reference,指数级基准，不是这只债券的修正久期。
101900.IB,23浙江01,I,地方债曲线,CFETS地方债AAA曲线期限插值收益率,1.3917679452054794,%,已获取（计算替代）,curve_at_bond_tenor_day,地方政府债(AAA),2026-09-11,2026-09-11,bond_china_close_return,linear_interpolation,以AAA曲线作统一比较基准，不代表对该券评级的确认；不外推。
101900.IB,23浙江01,J,中债估值,地方债指数平均市值法到期收益率（参考）,1.7024,%,已获取（替代）,index_day,地方政府债指数,2026-09-11,2026-09-11,bond_index_general_cbond,index_reference,缺少同日个券成交，提供指数均值参考；未做期限匹配，不表示个券定价。
101900.IB,23浙江01,K,免税收益,指数收益率参考：按原表公式计算的调整收益参考,2.4449,%,已获取（计算替代）,proxy_at_bond_day,101900.IB,2026-09-11,2026-09-11,local_calculation,J+0.25*G,采用用户允许的替代输入并沿用原表公式；是指数基准参考计算，不是个券实测收益或估值利差。
101900.IB,23浙江01,L,非免税曲线偏离,指数收益率参考：替代收益率相对CFETS曲线的差值,31.06320547945205,BP,已获取（计算替代）,proxy_at_bond_day,101900.IB,2026-09-11,2026-09-11,local_calculation,(J-I)*100,采用用户允许的替代输入并沿用原表公式；是指数基准参考计算，不是个券实测收益或估值利差。
101900.IB,23浙江01,M,免税曲线偏离,指数收益率参考：按原表调整公式计算的参考差值,70.51900684931508,BP,已获取（计算替代）,proxy_at_bond_day,101900.IB,2026-09-11,2026-09-11,local_calculation,(J+0.25*G-1.25*I)*100,采用用户允许的替代输入并沿用原表公式；是指数基准参考计算，不是个券实测收益或估值利差。
101900.IB,23浙江01,N,期限（四舍五入）,基于Actual/365剩余期限的原表期限档位,3,年档,已获取（计算替代）,bond_day,101900.IB,2026-09-11,2026-09-11,local_calculation,30 if D>=25 else floor(D+0.5),分组规则沿用原表，剩余期限继承D列Actual/365替代计年口径。
101900.IB,23浙江01,O,债券是否提前偿还,提前偿还/本金偿还安排,,标志,未获取,bond,101900.IB,,2026-09-11,bond_info_detail_cm,,原始行权标志不涵盖完整本金提前偿还安排；存在与原表不一致样本，不能用否或占位值填补。
101900.IB,23浙江01,P,综合收益,指数收益率参考：按原表公式计算的调整收益参考,2.4449,%,已获取（计算替代）,proxy_at_bond_day,101900.IB,2026-09-11,2026-09-11,local_calculation,J+0.25*G,采用用户允许的替代输入并沿用原表公式；是指数基准参考计算，不是个券实测收益或估值利差。
101900.IB,23浙江01,Q,久期*余额,地方债指数久期×发行规模（研究参考）,118.24955999999999,年×亿元,已获取（计算替代）,bond_issue_event_x_index_day,101900.IB,2026-09-11,2026-09-11,local_calculation,H*E,仅研究参考；输入为发行规模和指数久期，禁止解释为真实逐券风险敞口或据此计算真实组合久期。
101900.IB,23浙江01,R,债券是否提前偿还,提前偿还/本金偿还安排,,标志,未获取,bond,101900.IB,,2026-09-11,bond_info_detail_cm,,原始行权标志不涵盖完整本金提前偿还安排；存在与原表不一致样本，不能用否或占位值填补。
101900.IB,23浙江01,S,发行日期,发行日期,2023-02-10,日期,已获取,bond,101900.IB,,2026-09-11,bond_info_detail_cm,,
101900.IB,23浙江01,T,日期早于2025年8月8日，填1，否则为0,发行日期早于2025-08-08的标记,1,0/1,已获取（计算）,bond,101900.IB,,2026-09-11,local_calculation,int(S<2025-08-08),
2571241.IB,25江西债68,A,证券代码,证券代码及银行间市场映射,2571241.IB,代码,已获取,bond,2571241.IB,,2026-09-11,bond_info_detail_cm,,
2571241.IB,25江西债68,B,发行地区,从发行人名称提取的地区,江西省,地区,已获取（计算）,bond,2571241.IB,,2026-09-11,bond_info_detail_cm,remove_government_name_suffix,
2571241.IB,25江西债68,C,证券简称,证券简称,25江西债68,文本,已获取,bond,2571241.IB,,2026-09-11,bond_info_detail_cm,,
2571241.IB,25江西债68,D,剩余期限(年),剩余期限（Actual/365）,9.142465753424657,年,已获取（计算替代）,bond_day,2571241.IB,2026-09-11,2026-09-11,bond_info_detail_cm,"max(0,(maturity-as_of).days/365)",按实际天数/365计算，与Wind计年规则存在细小差异。
2571241.IB,25江西债68,E,余额(亿),发行规模（未偿余额的规模参考）,3.44,亿元,已获取（替代）,bond_issue_event,2571241.IB,2025-10-30,2026-09-11,bond_info_detail_cm,issuance_size_reference,仅作为规模替代指标，不是未偿本金；到期后发行规模仍可为正。
2571241.IB,25江西债68,F,地方债类型,从债券全称识别的一般债/专项债,一般债,类别,已获取（计算）,bond,2571241.IB,,2026-09-11,bond_info_detail_cm,classify_general_or_special_from_full_name,
2571241.IB,25江西债68,G,票面,票面利率,1.95,%,已获取,bond,2571241.IB,,2026-09-11,bond_info_detail_cm,,
2571241.IB,25江西债68,H,久期,地方政府债指数平均市值法久期（基准参考）,8.9583,年,已获取（替代）,index_day,地方政府债指数,2026-09-11,2026-09-11,bond_index_general_cbond,index_duration_reference,指数级基准，不是这只债券的修正久期。
2571241.IB,25江西债68,I,地方债曲线,CFETS地方债AAA曲线期限插值收益率,1.7158224657534247,%,已获取（计算替代）,curve_at_bond_tenor_day,地方政府债(AAA),2026-09-11,2026-09-11,bond_china_close_return,linear_interpolation,以AAA曲线作统一比较基准，不代表对该券评级的确认；不外推。
2571241.IB,25江西债68,J,中债估值,地方债指数平均市值法到期收益率（参考）,1.7024,%,已获取（替代）,index_day,地方政府债指数,2026-09-11,2026-09-11,bond_index_general_cbond,index_reference,缺少同日个券成交，提供指数均值参考；未做期限匹配，不表示个券定价。
2571241.IB,25江西债68,K,免税收益,指数收益率参考：按原表公式计算的调整收益参考,2.1898999999999997,%,已获取（计算替代）,proxy_at_bond_day,2571241.IB,2026-09-11,2026-09-11,local_calculation,J+0.25*G,采用用户允许的替代输入并沿用原表公式；是指数基准参考计算，不是个券实测收益或估值利差。
2571241.IB,25江西债68,L,非免税曲线偏离,指数收益率参考：替代收益率相对CFETS曲线的差值,-1.3422465753424762,BP,已获取（计算替代）,proxy_at_bond_day,2571241.IB,2026-09-11,2026-09-11,local_calculation,(J-I)*100,采用用户允许的替代输入并沿用原表公式；是指数基准参考计算，不是个券实测收益或估值利差。
2571241.IB,25江西债68,M,免税曲线偏离,指数收益率参考：按原表调整公式计算的参考差值,4.5121917808218726,BP,已获取（计算替代）,proxy_at_bond_day,2571241.IB,2026-09-11,2026-09-11,local_calculation,(J+0.25*G-1.25*I)*100,采用用户允许的替代输入并沿用原表公式；是指数基准参考计算，不是个券实测收益或估值利差。
2571241.IB,25江西债68,N,期限（四舍五入）,基于Actual/365剩余期限的原表期限档位,9,年档,已获取（计算替代）,bond_day,2571241.IB,2026-09-11,2026-09-11,local_calculation,30 if D>=25 else floor(D+0.5),分组规则沿用原表，剩余期限继承D列Actual/365替代计年口径。
2571241.IB,25江西债68,O,债券是否提前偿还,提前偿还/本金偿还安排,,标志,未获取,bond,2571241.IB,,2026-09-11,bond_info_detail_cm,,原始行权标志不涵盖完整本金提前偿还安排；存在与原表不一致样本，不能用否或占位值填补。
2571241.IB,25江西债68,P,综合收益,指数收益率参考：按原表公式计算的调整收益参考,2.1898999999999997,%,已获取（计算替代）,proxy_at_bond_day,2571241.IB,2026-09-11,2026-09-11,local_calculation,J+0.25*G,采用用户允许的替代输入并沿用原表公式；是指数基准参考计算，不是个券实测收益或估值利差。
2571241.IB,25江西债68,Q,久期*余额,地方债指数久期×发行规模（研究参考）,30.816551999999998,年×亿元,已获取（计算替代）,bond_issue_event_x_index_day,2571241.IB,2026-09-11,2026-09-11,local_calculation,H*E,仅研究参考；输入为发行规模和指数久期，禁止解释为真实逐券风险敞口或据此计算真实组合久期。
2571241.IB,25江西债68,R,债券是否提前偿还,提前偿还/本金偿还安排,,标志,未获取,bond,2571241.IB,,2026-09-11,bond_info_detail_cm,,原始行权标志不涵盖完整本金提前偿还安排；存在与原表不一致样本，不能用否或占位值填补。
2571241.IB,25江西债68,S,发行日期,发行日期,2025-10-30,日期,已获取,bond,2571241.IB,,2026-09-11,bond_info_detail_cm,,
2571241.IB,25江西债68,T,日期早于2025年8月8日，填1，否则为0,发行日期早于2025-08-08的标记,0,0/1,已获取（计算）,bond,2571241.IB,,2026-09-11,local_calculation,int(S<2025-08-08),
2405398.IB,24湖北债16,A,证券代码,证券代码及银行间市场映射,2405398.IB,代码,已获取,bond,2405398.IB,,2026-09-11,bond_info_detail_cm,,
2405398.IB,24湖北债16,B,发行地区,从发行人名称提取的地区,湖北省,地区,已获取（计算）,bond,2405398.IB,,2026-09-11,bond_info_detail_cm,remove_government_name_suffix,
2405398.IB,24湖北债16,C,证券简称,证券简称,24湖北债16,文本,已获取,bond,2405398.IB,,2026-09-11,bond_info_detail_cm,,
2405398.IB,24湖北债16,D,剩余期限(年),剩余期限（Actual/365）,0,年,已获取（计算替代）,bond_day,2405398.IB,2026-09-11,2026-09-11,bond_info_detail_cm,"max(0,(maturity-as_of).days/365)",按实际天数/365计算，与Wind计年规则存在细小差异。
2405398.IB,24湖北债16,E,余额(亿),发行规模（未偿余额的规模参考）,32.9289,亿元,已获取（替代）,bond_issue_event,2405398.IB,2024-05-31,2026-09-11,bond_info_detail_cm,issuance_size_reference,仅作为规模替代指标，不是未偿本金；到期后发行规模仍可为正。
2405398.IB,24湖北债16,F,地方债类型,从债券全称识别的一般债/专项债,一般债,类别,已获取（计算）,bond,2405398.IB,,2026-09-11,bond_info_detail_cm,classify_general_or_special_from_full_name,
2405398.IB,24湖北债16,G,票面,票面利率,1.88,%,已获取,bond,2405398.IB,,2026-09-11,bond_info_detail_cm,,
2405398.IB,24湖北债16,H,久期,地方政府债指数平均市值法久期（基准参考）,,年,不适用,index_day,地方政府债指数,2026-09-11,2026-09-11,bond_index_general_cbond,index_duration_reference,按已披露合同到期日，该券在评估日已到期；不生成当前收益、久期或风险参考。
2405398.IB,24湖北债16,I,地方债曲线,CFETS地方债AAA曲线期限插值收益率,,%,不适用,curve_at_bond_tenor_day,地方政府债(AAA),2026-09-11,2026-09-11,bond_china_close_return,linear_interpolation,按已披露合同到期日，该券在评估日已到期；不生成当前收益、久期或风险参考。
2405398.IB,24湖北债16,J,中债估值,地方债指数平均市值法到期收益率（参考）,,%,不适用,index_day,地方政府债指数,2026-09-11,2026-09-11,bond_index_general_cbond,index_reference,按已披露合同到期日，该券在评估日已到期；不生成当前收益、久期或风险参考。
2405398.IB,24湖北债16,K,免税收益,指数收益率参考：按原表公式计算的调整收益参考,,%,不适用,proxy_at_bond_day,2405398.IB,2026-09-11,2026-09-11,local_calculation,J+0.25*G,按已披露合同到期日，该券在评估日已到期；不生成当前收益、久期或风险参考。
2405398.IB,24湖北债16,L,非免税曲线偏离,指数收益率参考：替代收益率相对CFETS曲线的差值,,BP,不适用,proxy_at_bond_day,2405398.IB,2026-09-11,2026-09-11,local_calculation,(J-I)*100,按已披露合同到期日，该券在评估日已到期；不生成当前收益、久期或风险参考。
2405398.IB,24湖北债16,M,免税曲线偏离,指数收益率参考：按原表调整公式计算的参考差值,,BP,不适用,proxy_at_bond_day,2405398.IB,2026-09-11,2026-09-11,local_calculation,(J+0.25*G-1.25*I)*100,按已披露合同到期日，该券在评估日已到期；不生成当前收益、久期或风险参考。
2405398.IB,24湖北债16,N,期限（四舍五入）,基于Actual/365剩余期限的原表期限档位,0,年档,已获取（计算替代）,bond_day,2405398.IB,2026-09-11,2026-09-11,local_calculation,30 if D>=25 else floor(D+0.5),分组规则沿用原表，剩余期限继承D列Actual/365替代计年口径。
2405398.IB,24湖北债16,O,债券是否提前偿还,提前偿还/本金偿还安排,,标志,未获取,bond,2405398.IB,,2026-09-11,bond_info_detail_cm,,原始行权标志不涵盖完整本金提前偿还安排；存在与原表不一致样本，不能用否或占位值填补。
2405398.IB,24湖北债16,P,综合收益,指数收益率参考：按原表公式计算的调整收益参考,,%,不适用,proxy_at_bond_day,2405398.IB,2026-09-11,2026-09-11,local_calculation,J+0.25*G,按已披露合同到期日，该券在评估日已到期；不生成当前收益、久期或风险参考。
2405398.IB,24湖北债16,Q,久期*余额,地方债指数久期×发行规模（研究参考）,,年×亿元,不适用,bond_issue_event_x_index_day,2405398.IB,2026-09-11,2026-09-11,local_calculation,H*E,按已披露合同到期日，该券在评估日已到期；不生成当前收益、久期或风险参考。
2405398.IB,24湖北债16,R,债券是否提前偿还,提前偿还/本金偿还安排,,标志,未获取,bond,2405398.IB,,2026-09-11,bond_info_detail_cm,,原始行权标志不涵盖完整本金提前偿还安排；存在与原表不一致样本，不能用否或占位值填补。
2405398.IB,24湖北债16,S,发行日期,发行日期,2024-05-31,日期,已获取,bond,2405398.IB,,2026-09-11,bond_info_detail_cm,,
2405398.IB,24湖北债16,T,日期早于2025年8月8日，填1，否则为0,发行日期早于2025-08-08的标记,1,0/1,已获取（计算）,bond,2405398.IB,,2026-09-11,local_calculation,int(S<2025-08-08),
101948.IB,23四川18,A,证券代码,证券代码及银行间市场映射,101948.IB,代码,已获取,bond,101948.IB,,2026-09-11,bond_info_detail_cm,,
101948.IB,23四川18,B,发行地区,从发行人名称提取的地区,四川省,地区,已获取（计算）,bond,101948.IB,,2026-09-11,bond_info_detail_cm,remove_government_name_suffix,
101948.IB,23四川18,C,证券简称,证券简称,23四川18,文本,已获取,bond,101948.IB,,2026-09-11,bond_info_detail_cm,,
101948.IB,23四川18,D,剩余期限(年),剩余期限（Actual/365）,16.476712328767125,年,已获取（计算替代）,bond_day,101948.IB,2026-09-11,2026-09-11,bond_info_detail_cm,"max(0,(maturity-as_of).days/365)",按实际天数/365计算，与Wind计年规则存在细小差异。
101948.IB,23四川18,E,余额(亿),发行规模（未偿余额的规模参考）,117.4052,亿元,已获取（替代）,bond_issue_event,101948.IB,2023-02-27,2026-09-11,bond_info_detail_cm,issuance_size_reference,仅作为规模替代指标，不是未偿本金；到期后发行规模仍可为正。
101948.IB,23四川18,F,地方债类型,从债券全称识别的一般债/专项债,专项债,类别,已获取（计算）,bond,101948.IB,,2026-09-11,bond_info_detail_cm,classify_general_or_special_from_full_name,
101948.IB,23四川18,G,票面,票面利率,3.24,%,已获取,bond,101948.IB,,2026-09-11,bond_info_detail_cm,,
101948.IB,23四川18,H,久期,地方政府债指数平均市值法久期（基准参考）,8.9583,年,已获取（替代）,index_day,地方政府债指数,2026-09-11,2026-09-11,bond_index_general_cbond,index_duration_reference,指数级基准，不是这只债券的修正久期。
101948.IB,23四川18,I,地方债曲线,CFETS地方债AAA曲线期限插值收益率,2.1074441095890415,%,已获取（计算替代）,curve_at_bond_tenor_day,地方政府债(AAA),2026-09-11,2026-09-11,bond_china_close_return,linear_interpolation,以AAA曲线作统一比较基准，不代表对该券评级的确认；不外推。
101948.IB,23四川18,J,中债估值,个券最新成交收益率（估值收益率替代）,2.0425,%,已获取（替代）,bond_market_day,101948.IB,2026-09-11,2026-09-11,bond_spot_deal,individual_trade,保留真实成交日期；不是中债估值。
101948.IB,23四川18,K,免税收益,成交收益率：按原表公式计算的调整收益参考,2.8525,%,已获取（计算替代）,proxy_at_bond_day,101948.IB,2026-09-11,2026-09-11,local_calculation,J+0.25*G,采用用户允许的替代输入并沿用原表公式；按成交收益率与票息计算的调整收益参考。
101948.IB,23四川18,L,非免税曲线偏离,成交收益率：替代收益率相对CFETS曲线的差值,-6.494410958904151,BP,已获取（计算替代）,proxy_at_bond_day,101948.IB,2026-09-11,2026-09-11,local_calculation,(J-I)*100,采用用户允许的替代输入并沿用原表公式；属于成交收益率相对曲线的参考差值。
101948.IB,23四川18,M,免税曲线偏离,成交收益率：按原表调整公式计算的参考差值,21.819486301369828,BP,已获取（计算替代）,proxy_at_bond_day,101948.IB,2026-09-11,2026-09-11,local_calculation,(J+0.25*G-1.25*I)*100,采用用户允许的替代输入并沿用原表公式；属于成交收益率相对曲线的参考差值。
101948.IB,23四川18,N,期限（四舍五入）,基于Actual/365剩余期限的原表期限档位,16,年档,已获取（计算替代）,bond_day,101948.IB,2026-09-11,2026-09-11,local_calculation,30 if D>=25 else floor(D+0.5),分组规则沿用原表，剩余期限继承D列Actual/365替代计年口径。
101948.IB,23四川18,O,债券是否提前偿还,提前偿还/本金偿还安排,,标志,未获取,bond,101948.IB,,2026-09-11,bond_info_detail_cm,,原始行权标志不涵盖完整本金提前偿还安排；存在与原表不一致样本，不能用否或占位值填补。
101948.IB,23四川18,P,综合收益,成交收益率：按原表公式计算的调整收益参考,2.8525,%,已获取（计算替代）,proxy_at_bond_day,101948.IB,2026-09-11,2026-09-11,local_calculation,J+0.25*G,采用用户允许的替代输入并沿用原表公式；按成交收益率与票息计算的调整收益参考。
101948.IB,23四川18,Q,久期*余额,地方债指数久期×发行规模（研究参考）,1051.75100316,年×亿元,已获取（计算替代）,bond_issue_event_x_index_day,101948.IB,2026-09-11,2026-09-11,local_calculation,H*E,仅研究参考；输入为发行规模和指数久期，禁止解释为真实逐券风险敞口或据此计算真实组合久期。
101948.IB,23四川18,R,债券是否提前偿还,提前偿还/本金偿还安排,,标志,未获取,bond,101948.IB,,2026-09-11,bond_info_detail_cm,,原始行权标志不涵盖完整本金提前偿还安排；存在与原表不一致样本，不能用否或占位值填补。
101948.IB,23四川18,S,发行日期,发行日期,2023-02-27,日期,已获取,bond,101948.IB,,2026-09-11,bond_info_detail_cm,,
101948.IB,23四川18,T,日期早于2025年8月8日，填1，否则为0,发行日期早于2025-08-08的标记,1,0/1,已获取（计算）,bond,101948.IB,,2026-09-11,local_calculation,int(S<2025-08-08),
